OBJECTID,FIPS,geoid_v2,COUNTY,STATE,POPULATION,SQMI,Point_Count,Shape__Area,Shape__Length
1,06037670602,6037670602,Los Angeles,CA,7833,5.51,0,457.989013671875,245.867137801021
2,06037296210,6037296210,Los Angeles,CA,3239,0.22,179,555986.726402283,2907.82363865853
3,06037296220,6037296220,Los Angeles,CA,4398,0.21,111,536727.55632782,2959.5186093823
4,06037297110,6037297110,Los Angeles,CA,4861,0.19,12,487902.01348877,2794.16680480998
5,06037297120,6037297120,Los Angeles,CA,3445,0.17,0,437996.713363647,3170.4990681315
6,06037297601,6037297601,Los Angeles,CA,2610,0.29,0,750976.130683899,5869.7155143389
7,06037980031,6037980031,Los Angeles,CA,1421,5.1,267,13146043.1029129,70060.362965624
8,06037980033,6037980033,Los Angeles,CA,61,4.74,27,268508.871994019,7948.49671092771
9,06037295103,6037295103,Los Angeles,CA,5145,0.81,106,2104288.92214203,8673.5545461743
10,06037296300,6037296300,Los Angeles,CA,4161,0.4,91,1025826.40145111,5421.65470786242
11,06037296401,6037296401,Los Angeles,CA,3265,0.39,87,977627.856285095,4286.32361158571
12,06037296402,6037296402,Los Angeles,CA,3130,0.42,287,1051733.25481415,5359.64034446812
13,06037296500,6037296500,Los Angeles,CA,3957,0.35,145,917733.534645081,4357.78375639246
14,06037296600,6037296600,Los Angeles,CA,5376,0.32,352,840557.094291687,3733.65540917654
15,06037296901,6037296901,Los Angeles,CA,4254,0.24,0,617239.099021912,3460.41204440316
16,06037296902,6037296902,Los Angeles,CA,3755,0.19,9,489811.849067688,3661.15515702951
17,06037297000,6037297000,Los Angeles,CA,5485,0.56,0,1430416.69810486,5641.56425329674
18,06037297201,6037297201,Los Angeles,CA,3613,0.16,0,401656.107086182,2512.61342990073
19,06037297202,6037297202,Los Angeles,CA,3537,0.22,0,575739.580169678,3045.32030914771
20,06037297300,6037297300,Los Angeles,CA,2429,0.47,0,1231889.1344986,5904.61365141949
21,06037297400,6037297400,Los Angeles,CA,3694,0.81,0,2063169.02646637,6420.21228229923
22,06037297500,6037297500,Los Angeles,CA,5268,0.77,0,2000538.03978729,6546.70777223303
23,06037297602,6037297602,Los Angeles,CA,3491,0.24,0,622865.605316162,3790.25141049688
24,06037609900,6037609900,Los Angeles,CA,2187,0.2,0,11268.0142822266,2093.04890118868
25,06037670702,6037670702,Los Angeles,CA,5535,2.59,0,13132.9787597656,2586.59906864513
26,06037262601,6037262601,Los Angeles,CA,3802,1.42,0,3677626.79101181,10328.9515927798
27,06037262604,6037262604,Los Angeles,CA,6217,2.28,0,5851871.20731735,16857.6042419059
28,06037262704,6037262704,Los Angeles,CA,3673,0.76,0,1962201.03308868,7844.93814949817
29,06037262706,6037262706,Los Angeles,CA,3554,0.9,0,2327797.83530045,6613.15727337763
30,06037800506,6037800506,Los Angeles,CA,3073,10.13,0,38331.5098190308,5018.21097978627
31,06037137201,6037137201,Los Angeles,CA,5356,0.77,2713,2000917.378582,5832.15486748735
32,06037137301,6037137301,Los Angeles,CA,2263,0.62,2075,1601442.86267471,6160.96742786486
33,06037137302,6037137302,Los Angeles,CA,4389,0.93,3212,2413923.45362854,7387.19498157704
34,06037137401,6037137401,Los Angeles,CA,4292,0.91,2973,2356271.1407814,7902.39181857245
35,06037137402,6037137402,Los Angeles,CA,5349,1.19,3932,3068885.83426285,9248.1257778529
36,06037800101,6037800101,Los Angeles,CA,5644,3.12,5,19884.7671318054,4029.23274598446
37,06037800102,6037800102,Los Angeles,CA,7177,20.4,2,148826.550243378,14603.8381931631
38,06037800203,6037800203,Los Angeles,CA,5923,3.97,9,37067.249004364,4566.4918357392
39,06037800204,6037800204,Los Angeles,CA,6800,3.73,1950,1613103.33596039,10161.8657929702
40,06037930401,6037930401,Los Angeles,CA,2506,0.53,1836,1390386.7832756,5895.00797774745
41,06037137103,6037137103,Los Angeles,CA,4660,0.29,925,764159.244407654,3579.37406706586
42,06037137104,6037137104,Los Angeles,CA,2779,0.99,3420,2549514.34761047,7121.44298042717
43,06037137501,6037137501,Los Angeles,CA,4130,0.97,3116,2516206.94026947,7352.14477461366
44,06037137502,6037137502,Los Angeles,CA,4246,0.81,2823,2093567.46908951,5857.95076571964
45,06037137504,6037137504,Los Angeles,CA,1937,1.46,1071,3775158.09464264,9943.6266060375
46,06037138000,6037138000,Los Angeles,CA,4456,1.71,2851,4439166.78720093,9494.78575665603
47,06037139302,6037139302,Los Angeles,CA,4245,0.13,467,346967.961914063,2459.07794675052
48,06037139303,6037139303,Los Angeles,CA,4176,0.16,566,415758.202236176,2925.59190229311
49,06037139401,6037139401,Los Angeles,CA,2814,0.35,1208,904072.633605957,3869.67017586054
50,06037139402,6037139402,Los Angeles,CA,2845,0.95,2648,2441580.49345398,8649.61557204925
51,06037139703,6037139703,Los Angeles,CA,3037,1.84,1199,4783335.84931946,12503.3711861554
52,06037139801,6037139801,Los Angeles,CA,3489,1.42,1565,3661002.1776619,8380.1850520244
53,06037139802,6037139802,Los Angeles,CA,3772,2.35,2314,6080092.5911293,14021.78486837
