geoid,geoid20,year,denom_totalarea,existing_canopy_count,existing_canopy_pct,possible_canopy_count,possible_canopy_pct
1400000US06037101110,6037101110,2016,12298162,2827223.5,22.988993,5520895.5,44.892036
1400000US06037101122,6037101122,2016,28511170,7808231,27.386568,16209183,56.852043
1400000US06037101220,6037101220,2016,7528351.5,2091404.875,27.780382,2932750.5,38.956078
1400000US06037101221,6037101221,2016,3798988,609061.5,16.032204,1648871.875,43.402924
1400000US06037101222,6037101222,2016,3180596.75,509919.78125,16.032206,1380472,43.402924
1400000US06037101300,6037101300,2016,27723896,10483228,37.812969,11434697,41.244915
1400000US06037101400,6037101400,2016,67818544,28041596,41.347977,32219958,47.509068
1400000US06037102103,6037102103,2016,12786188,3054332.75,23.887751,7254858,56.739803
1400000US06037102104,6037102104,2016,17855410,4957539,27.764914,8506568,47.641403
1400000US06037102105,6037102105,2016,5269416.5,891440.4375,16.917252,1978493.375,37.546726
1400000US06037102107,6037102107,2016,139043664,50306652,36.18047,80538736,57.92334
1400000US06037103101,6037103101,2016,21870900,4398581,20.111568,13734436,62.797764
1400000US06037103102,6037103102,2016,13288767,2625947,19.760653,5924123.5,44.579933
1400000US06037103201,6037103201,2016,20972446,3416760,16.291662,14662666,69.913956
1400000US06037103202,6037103202,2016,50831924,8281365.5,16.291662,35538608,69.913956
1400000US06037103300,6037103300,2016,65995792,19971998,30.262533,37191332,56.354095
1400000US06037103401,6037103401,2016,15099624,4975209.5,32.949226,6118521.5,40.521019
1400000US06037103402,6037103402,2016,11839936,3901167.5,32.949226,4797663,40.521023
1400000US06037104103,6037104103,2016,10137670,2595206.25,25.599632,3844701.5,37.924904
1400000US06037104105,6037104105,2016,6289063,1124662.5,17.882832,2684839.25,42.690609
1400000US06037104108,6037104108,2016,11762100,2243672,19.075438,5717179.5,48.606792
1400000US06037104124,6037104124,2016,48151016,10317575,21.427534,32151820,66.772881
1400000US06037104201,6037104201,2016,11733933,1975387.5,16.834829,4728403,40.296829
1400000US06037104203,6037104203,2016,7619864,1496292.25,19.636732,3120778,40.955822
1400000US06037104204,6037104204,2016,28675782,2794813.75,9.7462511,21867284,76.256973
1400000US06037104310,6037104310,2016,16130545,2313984.5,14.345359,7254844,44.975815
1400000US06037104321,6037104321,2016,5591011,880519,15.748834,2406314,43.038979
1400000US06037104322,6037104322,2016,7444687.5,1172451.375,15.748833,3204117.25,43.038975
1400000US06037104401,6037104401,2016,7342523.5,1551909.375,21.135914,3034842.25,41.332413
1400000US06037104403,6037104403,2016,7428604.5,1245964.375,16.772522,3039711.5,40.91901
1400000US06037104404,6037104404,2016,5808094,1083726.5,18.658901,2501226.5,43.064499
1400000US06037104500,6037104500,2016,5712975,1195523.5,20.926462,2311200,40.45528
1400000US06037104610,6037104610,2016,6361537.5,1129218.75,17.750721,2731893.75,42.943924
1400000US06037104620,6037104620,2016,5717025,1300626.5,22.750057,2228175,38.97438
1400000US06037104701,6037104701,2016,5926120.5,968864.0625,16.349045,2801081.25,47.266693
1400000US06037104703,6037104703,2016,12551850,1043232.75,8.3113861,6780032,54.016197
1400000US06037104704,6037104704,2016,17854424,2116448.5,11.853916,10920023,61.161442
1400000US06037104821,6037104821,2016,5715858,1277929.75,22.357618,2394014,41.88372
1400000US06037104822,6037104822,2016,6515436.5,877860.125,13.473543,2944556.75,45.193546
1400000US06037104823,6037104823,2016,5717783,1036360,18.125206,2601858.5,45.504673
1400000US06037104824,6037104824,2016,6370553,1154676,18.125208,2898899.5,45.504677
1400000US06037106010,6037106010,2016,27114696,4799022,17.698971,16701118,61.594341
1400000US06037106020,6037106020,2016,21741108,4306139.5,19.80644,11600810,53.358871
1400000US06037106111,6037106111,2016,29800846,4314300.5,14.477107,21402616,71.818817
1400000US06037106112,6037106112,2016,34591152,3857475.25,11.151624,22591198,65.309181
1400000US06037106113,6037106113,2016,15514748,2749697,17.723118,7925948.5,51.086544
1400000US06037106114,6037106114,2016,10887534,1931284.625,17.738495,5036598.5,46.260231
1400000US06037106403,6037106403,2016,11907155,2892093.75,24.288706,5121365.5,43.010822
1400000US06037106405,6037106405,2016,12581480,2873165.5,22.836466,6385247,50.75116
1400000US06037106406,6037106406,2016,21646842,3961035.25,18.298445,10783319,49.814743
1400000US06037106407,6037106407,2016,2490328,361828.125,14.529336,1150186,46.186127
1400000US06037106408,6037106408,2016,2458202.5,457280.8125,18.602243,992150.75,40.360821
1400000US06037106510,6037106510,2016,62328375.5,9113311.890625,14.621449,40208222.9375,64.5103
1400000US06037106520,6037106520,2016,23764740,4654195.5,19.584457,10567041,44.465206
1400000US06037106603,6037106603,2016,110906584,24721710,22.290569,80099112,72.222145
1400000US06037106604,6037106604,2016,27891290,4861412,17.429857,15237515,54.631805
1400000US06037106641,6037106641,2016,12215630,3600801.5,29.477001,4605637.5,37.702824
1400000US06037106642,6037106642,2016,16953104,4913451.5,28.982607,6452254.5,38.059429
1400000US06037106643,6037106643,2016,46582700,11977160,25.711605,25496556,54.733959
1400000US06037106645,6037106645,2016,27212654,8260045.5,30.353693,12230030,44.942436
1400000US06037106646,6037106646,2016,15871148,3491409.5,21.998468,6558820.5,41.325432
1400000US06037106648,6037106648,2016,8552827,1840246.875,21.516241,3692981.25,43.178486
1400000US06037106649,6037106649,2016,11900264,2459222,20.665272,5684892,47.771141
1400000US06037107010,6037107010,2016,7335534.5,1814793.75,24.739761,2828868.75,38.563908
1400000US06037107020,6037107020,2016,10678866,2684941,25.142567,4288863,40.162159
1400000US06037108101,6037108101,2016,12136177,2778679.75,22.895842,5235089,43.136227
1400000US06037108102,6037108102,2016,23365238,6149264,26.318003,11137795,47.668228
1400000US06037108103,6037108103,2016,27554554,7049145.5,25.582506,14196446,51.521233
1400000US06037108104,6037108104,2016,8886769,2286182.75,25.725691,3559837.5,40.057724
1400000US06037108202,6037108202,2016,63555772,7546569,11.873932,44967296,70.752495
1400000US06037108203,6037108203,2016,14790629,2931432.25,19.819525,7595696.5,51.35479
1400000US06037108204,6037108204,2016,15440666,3060266.75,19.819525,7929522,51.354794
1400000US06037109100,6037109100,2016,29074398,5052927.5,17.379303,16293654,56.041245
1400000US06037109200,6037109200,2016,10888014,2116342.75,19.437363,5344372,49.084911
1400000US06037109300,6037109300,2016,13245427,2265356.25,17.102932,5674036,42.837696
1400000US06037109400,6037109400,2016,13832276,3070644,22.199123,5272901.5,38.120274
1400000US06037109500,6037109500,2016,12885122,2212471,17.170742,5552740,43.094196
1400000US06037109601,6037109601,2016,24159206,3896718.75,16.129333,14091384,58.327183
1400000US06037109603,6037109603,2016,10750373,2184539,20.320587,4264889,39.672009
1400000US06037109604,6037109604,2016,12635578,2221059.5,17.577824,5415862.5,42.862007
1400000US06037109700,6037109700,2016,17080566,3373523.5,19.750654,6989625,40.921509
1400000US06037109800,6037109800,2016,15069052,2994848.5,19.874166,6169669,40.94265
1400000US06037111100,6037111100,2016,11395969,2209640.5,19.389668,5019089,44.042671
1400000US06037111201,6037111201,2016,20474254,4575403,22.347105,9357609,45.704273
1400000US06037111202,6037111202,2016,20094806,4931212.5,24.539738,7955986,39.592251
1400000US06037111204,6037111204,2016,35598136,9446105,26.535393,13638867,38.313431
1400000US06037111205,6037111205,2016,12488400,2643061,21.164129,6028945.5,48.276363
1400000US06037111206,6037111206,2016,28221426,7044750,24.962418,12473198,44.197617
1400000US06037111302,6037111302,2016,16657791,3880279.75,23.294083,6899414,41.418541
1400000US06037111303,6037111303,2016,16826562,3074685.75,18.27281,7457578,44.320271
1400000US06037111304,6037111304,2016,4707303,860156.5,18.27281,2086289.375,44.320271
1400000US06037111401,6037111401,2016,9043017,1532109.125,16.942455,3999994.5,44.232964
1400000US06037111402,6037111402,2016,10446244,1769850.25,16.942455,4620683.5,44.232964
1400000US06037113101,6037113101,2016,24433876,5388384.5,22.052925,11664900,47.740685
1400000US06037113102,6037113102,2016,39297424,11185610,28.463978,20018830,50.941837
1400000US06037113211,6037113211,2016,78407792,18320596,23.365786,51803424,66.069229
1400000US06037113212,6037113212,2016,10712916,2297887,21.449688,4359733,40.696045
1400000US06037113213,6037113213,2016,13947595,3124997,22.405275,5573517,39.960415
1400000US06037113231,6037113231,2016,44400156,10192198,22.95532,29257322,65.894638
1400000US06037113232,6037113232,2016,22267322,6471323.5,29.061975,8669925,38.935642
1400000US06037113234,6037113234,2016,10994822,1860131.25,16.918247,4793273.5,43.595734
1400000US06037113235,6037113235,2016,15319098,4559627,29.76433,8443307,55.116215
1400000US06037113237,6037113237,2016,51053708,9756577,19.110418,28092332,55.025059
1400000US06037113238,6037113238,2016,7621815,1023753.0625,13.43188,3162586,41.49387
1400000US06037113239,6037113239,2016,4663508.5,626396.9375,13.431882,1935070.25,41.493874
1400000US06037113301,6037113301,2016,24276116,5012023,20.645901,10172442,41.903088
1400000US06037113303,6037113303,2016,44123100.484375,5702144.546875,12.923264,20194803.515625,45.76923
1400000US06037113322,6037113322,2016,19203596,4303940.5,22.412159,7478226.5,38.941803
1400000US06037113323,6037113323,2016,7791332.5,1182755.375,15.180399,3447455.25,44.247314
1400000US06037113324,6037113324,2016,3492277.25,530141.625,15.180399,1545238.75,44.247311
1400000US06037113423,6037113423,2016,7648850,1456974.5,19.048283,3289215,43.002739
1400000US06037113424,6037113424,2016,18735592,3568808.25,19.048281,8056818,43.002739
1400000US06037113425,6037113425,2016,3645425.25,396889.5625,10.887332,1622603.5,44.510677
1400000US06037113426,6037113426,2016,20041548,2181990,10.887333,8920629,44.510677
1400000US06037113427,6037113427,2016,2791123.75,639639.75,22.916925,1128870,40.445
1400000US06037113428,6037113428,2016,13675684,3134046.25,22.916925,5531130,40.444996
1400000US06037115101,6037115101,2016,41773232,12437100,29.772894,16412625,39.289814
1400000US06037115103,6037115103,2016,16500973,2731721,16.554909,9357364,56.707954
1400000US06037115104,6037115104,2016,10885936,3048173.5,28.001024,4228537.5,38.84404
1400000US06037115202,6037115202,2016,18714854,3487387.5,18.634329,8368425,44.715416
1400000US06037115203,6037115203,2016,6463873,1378444.625,21.325367,2635815,40.777641
1400000US06037115204,6037115204,2016,8280363.5,1765817.875,21.325367,3376536.75,40.777637
1400000US06037115301,6037115301,2016,17667210,4331967,24.519814,7133512.5,40.377132
1400000US06037115302,6037115302,2016,9010350,1344459.375,14.921278,4339462.5,48.160866
1400000US06037115401,6037115401,2016,20507484,6146662.5,29.972776,8344322,40.689156
1400000US06037115403,6037115403,2016,7571095.5,1285650,16.98103,3152672,41.640896
1400000US06037115404,6037115404,2016,10281923,1875051.5,18.236389,4572169,44.468033
1400000US06037117101,6037117101,2016,8417236,1606767.25,19.089012,3566503,42.371426
1400000US06037117102,6037117102,2016,11177888,3031481.25,27.12034,5132517,45.916698
1400000US06037117201,6037117201,2016,8491402,1792954.75,21.114944,3516286,41.409958
1400000US06037117202,6037117202,2016,19531740,3324029,17.018602,10548564,54.007294
1400000US06037117301,6037117301,2016,14399550,2794148.5,19.404415,6289579.5,43.679001
1400000US06037117302,6037117302,2016,22050210,4185000,18.97941,9626709,43.658127
1400000US06037117303,6037117303,2016,19351898,3500873.5,18.090595,9531647,49.254326
1400000US06037117404,6037117404,2016,19003304,3965625,20.868082,8359847,43.991547
1400000US06037117405,6037117405,2016,2181501.5,171576.5625,7.8650675,823598.4375,37.753742
1400000US06037117407,6037117407,2016,2143251.5,180267.1875,8.4109211,968695.3125,45.197464
1400000US06037117408,6037117408,2016,4052643.75,551390.625,13.605701,1942312.5,47.927048
1400000US06037117510,6037117510,2016,3603867.25,682354.6875,18.933958,1473187.5,40.877964
1400000US06037117520,6037117520,2016,3480567.25,566606.25,16.279135,1323562.5,38.027206
1400000US06037117530,6037117530,2016,6006895.5,848714.0625,14.128997,2775825,46.210644
1400000US06037119001,6037119001,2016,11321016,2256145.25,19.928823,4883540.5,43.136944
1400000US06037119003,6037119003,2016,9126751,1723290.5,18.881752,3788109.5,41.505566
1400000US06037119004,6037119004,2016,9136908.390625,1722688.501464844,18.854174,3794043.349609375,41.524368
1400000US06037119201,6037119201,2016,10238527,2146134.5,20.961359,4517128,44.118923
1400000US06037119202,6037119202,2016,10423294,1886062.5,18.094688,4428773.5,42.489193
1400000US06037119310,6037119310,2016,4595338.5,928656.4375,20.208662,1877671.375,40.860348
1400000US06037119320,6037119320,2016,5305978,1314675,24.777243,2098954.75,39.5583
1400000US06037119340,6037119340,2016,1315167.25,150173.4375,11.418581,415659.375,31.605059
1400000US06037119341,6037119341,2016,3524708.25,676915.125,19.204855,1547395.25,43.901371
1400000US06037119342,6037119342,2016,2358028,399459.375,16.940399,918689.0625,38.960056
1400000US06037119400,6037119400,2016,12051464,2748065.5,22.802752,4947764,41.055294
1400000US06037119700,6037119700,2016,14172497,3070828,21.667515,5895703,41.599606
1400000US06037119801,6037119801,2016,6590151.5,1296741,19.676952,2790061.75,42.336838
1400000US06037119802,6037119802,2016,6777296,1333565.375,19.676954,2869293,42.336842
1400000US06037119900,6037119900,2016,11265638,2547970.25,22.617186,4375448.5,38.838886
1400000US06037120010,6037120010,2016,6072792,1184737.5,19.508942,2680087.5,44.132706
1400000US06037120020,6037120020,2016,5711961.5,755972.9375,13.23491,2543063.75,44.521725
